name,category,barcode,brand,content,baseUnitCode,price,stock,minStock,conversions
Inca Kola 500ml,Gaseosas,7750243051234,Inca Kola,500ml,UNIT,2.50,120,24,"PACK:6,BOX:24"
Inca Kola 1.5L,Gaseosas,7750243051235,Inca Kola,1.5L,UNIT,5.50,80,12,"PACK:6"
Coca-Cola 500ml,Gaseosas,7750109004567,Coca-Cola,500ml,UNIT,2.50,120,24,"PACK:6,BOX:24"
Coca-Cola 1.5L,Gaseosas,7750109004568,Coca-Cola,1.5L,UNIT,5.80,80,12,"PACK:6"
Pepsi 500ml,Gaseosas,7751234567890,Pepsi,500ml,UNIT,2.30,100,20,"PACK:6,BOX:24"
Sprite 500ml,Gaseosas,7750109004600,Sprite,500ml,UNIT,2.30,80,15,"PACK:6,BOX:24"
Fanta Naranja 500ml,Gaseosas,7750109004610,Fanta,500ml,UNIT,2.30,60,12,"PACK:6,BOX:24"
Agua San Luis 625ml,Aguas,7750109005001,San Luis,625ml,UNIT,1.50,150,30,"PACK:6,BOX:15"
Agua San Luis 2.5L,Aguas,7750109005002,San Luis,2.5L,UNIT,3.50,60,12,"PACK:6"
Agua Cielo 625ml,Aguas,7750200001234,Cielo,625ml,UNIT,1.20,100,20,"PACK:6,BOX:15"
Jugo Frugos 1L,Jugos y Néctares,7750243060001,Frugos,1L,UNIT,4.50,60,12,"PACK:6"
Jugo Pulp 1L,Jugos y Néctares,7750244070001,Pulp,1L,UNIT,4.20,50,10,"PACK:6"
Néctar Gloria 1L,Jugos y Néctares,7750243080001,Gloria,1L,UNIT,5.00,40,8,"PACK:6"
Cerveza Pilsen 650ml,Cervezas,7751234600001,Pilsen,650ml,UNIT,6.50,80,20,"PACK:6,BOX:12"
Cerveza Cusqueña 620ml,Cervezas,7751234600002,Cusqueña,620ml,UNIT,7.00,60,15,"PACK:6,BOX:12"
Cerveza Cristal 650ml,Cervezas,7751234600003,Cristal,650ml,UNIT,6.00,100,25,"PACK:6,BOX:12"
Arroz Costeño 1kg,Arroz y Menestras,7751234700001,Costeño,1kg,UNIT,4.20,80,20,"PACK:12"
Arroz Costeño 5kg,Arroz y Menestras,7751234700002,Costeño,5kg,UNIT,19.50,40,10,
Arroz Extra Paisana 1kg,Arroz y Menestras,7751234700003,Paisana,1kg,UNIT,4.50,60,15,"PACK:12"
Lentejas 500g,Arroz y Menestras,7751234710001,Costeño,500g,UNIT,4.00,50,10,"PACK:12"
Frejol Canario 500g,Arroz y Menestras,7751234710002,Costeño,500g,UNIT,5.50,40,8,"PACK:12"
Aceite Primor 1L,Aceites,7750106000123,Primor,1L,UNIT,12.50,60,15,"PACK:6"
Aceite Primor 450ml,Aceites,7750106000124,Primor,450ml,UNIT,6.00,80,20,"PACK:12"
Aceite Cocinero 1L,Aceites,7750106000130,Cocinero,1L,UNIT,11.00,50,12,"PACK:6"
Azúcar Rubia Cartavio 1kg,Azúcar y Endulzantes,7751234800001,Cartavio,1kg,UNIT,4.00,100,25,"PACK:10"
Azúcar Blanca Bell's 1kg,Azúcar y Endulzantes,7751234800002,Bell's,1kg,UNIT,4.50,80,20,"PACK:10"
Azúcar Rubia 5kg,Azúcar y Endulzantes,7751234800003,Cartavio,5kg,UNIT,18.00,30,8,
Fideos Don Vittorio Spaghetti,Fideos y Pastas,7750243100001,Don Vittorio,500g,UNIT,3.80,100,25,"PACK:20"
Fideos Don Vittorio Tallarín,Fideos y Pastas,7750243100002,Don Vittorio,500g,UNIT,3.80,80,20,"PACK:20"
Fideos Molitalia Codos,Fideos y Pastas,7751234100010,Molitalia,250g,UNIT,2.20,70,15,"PACK:24"
Fideos Lavaggi Espiral,Fideos y Pastas,7751234100011,Lavaggi,500g,UNIT,3.50,60,12,"PACK:20"
Atún Florida 140g,Conservas,7750243200001,Florida,140g,UNIT,5.50,60,15,"PACK:24"
Atún Florida 170g,Conservas,7750243200002,Florida,170g,UNIT,7.00,50,12,"PACK:24"
Sardina Campomar 425g,Conservas,7751234200010,Campomar,425g,UNIT,4.50,40,10,"PACK:12"
